column,mean,median,std,min,max,Q1,Q3
is_starbucks,1.0,1.0,0.0,1.0,1.0,1.0,1.0
위도,37.5391,37.5364,0.0424,37.4473,37.6695,37.5051,37.5657
경도,126.9931,126.9995,0.0773,126.8005,127.1749,126.9347,127.046
행정동코드,11456836.8354,11500603.0,210456.1433,11110530.0,11740690.0,11230710.0,11650628.5
dist_nearest_subway,0.3414,0.2725,0.3073,0.0127,3.0724,0.1402,0.4425
num_subway_500m,1.0,1.0,0.6348,0.0,4.0,1.0,1.0
nearest_subway_ridership,59446.1738,46029.0,43107.7023,4235.0,238671.0,28961.0,83493.0
subway_ridership_500m,60711.2012,43283.0,60650.2351,0.0,352395.0,18762.0,87230.0
num_competing_cafes_500m,86.5433,76.0,55.1012,1.0,280.0,45.0,117.0
num_restaurants_500m,527.8341,479.0,311.9099,6.0,1656.0,280.0,735.0
num_retail_500m,431.8972,324.0,391.6674,5.0,2886.0,192.0,518.0
num_convenience_500m,30.0837,27.0,15.5643,1.0,85.0,19.0,40.0
avg_income,3940506.684,3607265.0,1091893.1107,2152244.0,7421305.0,3130657.0,4846324.5
num_offices,45774.8848,15114.0,63728.5415,29.0,250897.0,3005.0,62687.0
living_population,39123.6534,35698.5,21304.2486,5870.0,98668.0,24288.0,46455.25
land_price,8639839.7357,6399509.0,6336621.5554,1098262.0,59244720.0,3864306.0,13166568.0
