score_decile,n_district,mean_score_pct,mean_sb_core_share,mean_weak_access_share,share_C0,share_C1,share_C2,share_C3,share_C4
D1,17,5.294117647058823,0.0,0.6940669409709657,0.0,0.0,0.3059330590290342,0.0,0.6940669409709657
D2,17,15.294117647058824,0.0,0.7317273576097105,0.0,0.0,0.2682726423902895,0.0,0.7317273576097105
D3,17,25.294117647058822,0.0,0.7206321216269314,0.0,0.0,0.27936787837306865,0.0,0.7206321216269314
D4,17,35.294117647058826,0.0,0.46068033273915626,0.0,0.0,0.5393196672608438,0.0,0.46068033273915626
D5,17,45.294117647058826,0.0,0.5698224022513799,0.0,0.0,0.43017759774862013,0.0,0.5698224022513799
D6,17,55.294117647058826,0.0,0.6246100199610636,0.0,0.0,0.37538998003893637,0.0,0.6246100199610636
D7,17,65.29411764705883,0.0,0.3806584346197757,0.0,0.0,0.6193415653802242,0.0,0.3806584346197757
D8,17,75.29411764705883,0.09954751131221719,0.37157260091504063,0.058823529411764705,0.04072398190045249,0.5288798877727422,0.0,0.37157260091504063
D9,17,85.29411764705883,0.3279299777712707,0.34119209698022906,0.1288390406872688,0.19122956566696883,0.3308779252485003,0.007861371417033032,0.34119209698022906
D10,17,95.29411764705883,0.2795900957952724,0.23237253709764247,0.0,0.2683836815125009,0.4880373671070852,0.011206414282771455,0.23237253709764247
