k,algorithm,silhouette,davies_bouldin,calinski_harabasz,BIC
2,KMeans,0.255,1.509,272.6,
2,GMM,0.167,1.881,169.3,21877.0
2,Hierarchical,0.266,1.563,242.6,
3,KMeans,0.162,1.81,202.5,
3,GMM,0.118,2.194,144.1,21677.0
3,Hierarchical,0.17,1.691,172.3,
4,KMeans,0.161,1.739,173.1,
4,GMM,0.134,1.841,128.6,21381.0
4,Hierarchical,0.183,1.528,148.5,
5,KMeans,0.172,1.633,156.3,
5,GMM,0.121,2.131,107.2,16185.0
5,Hierarchical,0.175,1.627,137.1,
6,KMeans,0.169,1.604,144.2,
6,GMM,0.112,2.025,103.3,16258.0
6,Hierarchical,0.119,1.823,128.3,
7,KMeans,0.172,1.719,133.1,
7,GMM,0.119,2.085,96.9,16797.0
7,Hierarchical,0.123,1.844,117.4,
8,KMeans,0.143,1.741,124.9,
8,GMM,0.117,2.07,88.7,17392.0
8,Hierarchical,0.121,1.825,110.5,
