column,dtype,missing_count,missing_rate_pct
상호명,str,0,0.0
브랜드,str,0,0.0
is_starbucks,int64,0,0.0
위도,float64,0,0.0
경도,float64,0,0.0
시군구명,str,0,0.0
행정동코드,float64,25,3.6711
행정동명,str,681,100.0
도로명주소,str,0,0.0
dist_nearest_subway,float64,0,0.0
num_subway_500m,int64,0,0.0
nearest_subway_ridership,float64,8,1.1747
subway_ridership_500m,float64,0,0.0
num_competing_cafes_500m,int64,0,0.0
num_restaurants_500m,int64,0,0.0
num_retail_500m,int64,0,0.0
num_convenience_500m,int64,0,0.0
avg_income,float64,26,3.8179
num_offices,float64,30,4.4053
living_population,float64,29,4.2584
land_price,float64,0,0.0
