district,total_cafes,starbucks_count,non_starbucks_count,starbucks_rate,dist_nearest_subway_median,num_restaurants_500m_median,independent_cafe_count_500m_median,dist_nearest_starbucks_median,num_offices_median,land_price_median
강남구,2187,102,2085,0.046639,0.36,603.0,89.0,0.15178,57007.0,15728217.0
마포구,1811,38,1773,0.020983,0.3821,723.0,125.0,0.259283,5852.0,6764541.0
송파구,1341,40,1301,0.029828,0.3392,374.0,47.0,0.228937,12201.0,7050169.0
서초구,1294,59,1235,0.045595,0.3539,397.5,59.0,0.196107,33724.0,12167635.0
종로구,1266,42,1224,0.033175,0.3084,659.5,112.0,0.179681,18962.0,7804819.0
영등포구,1180,44,1136,0.037288,0.35735,441.0,60.0,0.215353,14874.0,5396393.0
중구,1129,54,1075,0.04783,0.2656,731.0,120.0,0.142602,52971.0,12052016.0
강서구,1064,33,1031,0.031015,0.3406,338.0,39.0,0.256568,5314.0,3551440.0
용산구,859,24,835,0.027939,0.3733,376.0,60.0,0.319859,18302.0,7963277.0
성북구,795,17,778,0.021384,0.351,284.0,35.0,0.322178,2040.0,3914308.0
광진구,792,24,768,0.030303,0.35745,379.5,46.0,0.258677,1753.0,4650403.0
강동구,754,20,734,0.026525,0.3676,325.0,42.0,0.266118,2893.0,5072899.0
성동구,736,16,720,0.021739,0.36,460.5,63.0,0.286602,3325.0,7001715.0
관악구,733,15,718,0.020464,0.3693,463.0,48.0,0.305086,1644.0,4225059.0
서대문구,685,24,661,0.035036,0.4637,362.0,57.0,0.231804,1629.0,3987835.0
동대문구,675,14,661,0.020741,0.4778,321.0,37.0,0.357703,2337.0,4029636.0
노원구,663,15,648,0.022624,0.3979,275.0,31.0,0.441384,1264.0,2775572.0
구로구,623,13,610,0.020867,0.5278,292.0,29.0,0.373066,9248.0,3285041.0
은평구,619,16,603,0.025848,0.3926,333.0,36.0,0.341872,1939.0,3342233.0
동작구,605,14,591,0.02314,0.3005,286.0,41.0,0.263744,2833.0,4821614.0
양천구,577,17,560,0.029463,0.5521,269.0,31.0,0.326679,3311.0,3861998.0
금천구,562,15,547,0.02669,0.5836,391.0,42.0,0.267015,106107.0,3187423.0
중랑구,512,10,502,0.019531,0.3708,314.0,28.0,0.375724,1355.0,3213124.0
강북구,461,7,454,0.015184,0.3569,315.0,30.0,0.394663,1314.0,2525392.0
도봉구,382,8,374,0.020942,0.4629,262.5,25.0,0.482059,1070.0,2459888.0
