dataset,label,nan_reason,count,rate
all,전체,none,21579,0.9674512441156692
all,전체,최근접 지하철역 승하차 데이터 없음,291,0.01304640215198386
all,전체,신설된 행정동,217,0.009728760367630577
all,전체,강북구 생활인구 코드 불일치,194,0.008697601434655906
all,전체,스타벅스 행정동코드 조회 실패,24,0.0010759919300605246
non_starbucks,비스타벅스,none,20938,0.9682759896411395
non_starbucks,비스타벅스,최근접 지하철역 승하차 데이터 없음,283,0.013087310395856457
non_starbucks,비스타벅스,신설된 행정동,212,0.00980392156862745
non_starbucks,비스타벅스,강북구 생활인구 코드 불일치,191,0.00883277839437662
starbucks,스타벅스,none,641,0.9412628487518355
starbucks,스타벅스,스타벅스 행정동코드 조회 실패,24,0.03524229074889868
starbucks,스타벅스,최근접 지하철역 승하차 데이터 없음,8,0.011747430249632892
starbucks,스타벅스,신설된 행정동,5,0.007342143906020558
starbucks,스타벅스,강북구 생활인구 코드 불일치,3,0.004405286343612335
