,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,subway_ridership_500m,num_competing_cafes_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,avg_income,num_offices,living_population,land_price
dist_nearest_subway,1.0,-0.5166,-0.1147,-0.3345,-0.2544,-0.2835,-0.1664,-0.2655,0.0082,-0.074,-0.0105,-0.1397
num_subway_500m,-0.5166,1.0,0.1401,0.7105,0.3646,0.3488,0.3556,0.3069,0.0307,0.1665,-0.0039,0.3131
nearest_subway_ridership,-0.1147,0.1401,1.0,0.7035,0.5572,0.5434,0.4033,0.5518,0.0814,0.3005,0.2961,0.2937
subway_ridership_500m,-0.3345,0.7105,0.7035,1.0,0.6076,0.5815,0.5288,0.5567,0.1086,0.3313,0.1801,0.4456
num_competing_cafes_500m,-0.2544,0.3646,0.5572,0.6076,1.0,0.9328,0.5778,0.8418,0.0257,0.4356,0.3541,0.5734
num_restaurants_500m,-0.2835,0.3488,0.5434,0.5815,0.9328,1.0,0.5605,0.8708,-0.0222,0.3861,0.3541,0.5277
num_retail_500m,-0.1664,0.3556,0.4033,0.5288,0.5778,0.5605,1.0,0.5864,0.0756,0.251,0.0868,0.4839
num_convenience_500m,-0.2655,0.3069,0.5518,0.5567,0.8418,0.8708,0.5864,1.0,-0.1135,0.353,0.3236,0.4647
avg_income,0.0082,0.0307,0.0814,0.1086,0.0257,-0.0222,0.0756,-0.1135,1.0,0.358,0.1976,0.4236
num_offices,-0.074,0.1665,0.3005,0.3313,0.4356,0.3861,0.251,0.353,0.358,1.0,0.7615,0.5574
living_population,-0.0105,-0.0039,0.2961,0.1801,0.3541,0.3541,0.0868,0.3236,0.1976,0.7615,1.0,0.3433
land_price,-0.1397,0.3131,0.2937,0.4456,0.5734,0.5277,0.4839,0.4647,0.4236,0.5574,0.3433,1.0
