feature,group,count,missing_count,missing_rate,mean,median,std,min,Q1,Q3,max,IQR,zero_count,zero_rate,skewness
dist_nearest_subway,지하철 접근성,681,0,0.0,0.3414,0.2725,0.3073,0.0127,0.1402,0.4425,3.0724,0.3023,0,0.0,3.2893
num_subway_500m,지하철 접근성,681,0,0.0,1.0,1.0,0.6348,0.0,1.0,1.0,4.0,0.0,123,0.1806,0.519
nearest_subway_ridership,지하철 접근성,673,8,0.0117,59446.1738,46029.0,43107.7023,4235.0,28961.0,83493.0,238671.0,54532.0,0,0.0,1.3656
subway_ridership_500m,지하철 접근성,681,0,0.0,60711.2012,43283.0,60650.2351,0.0,18762.0,87230.0,352395.0,68468.0,125,0.1836,1.4784
num_competing_cafes_500m,상권 밀도,681,0,0.0,86.5433,76.0,55.1012,1.0,45.0,117.0,280.0,72.0,0,0.0,0.9632
num_restaurants_500m,상권 밀도,681,0,0.0,527.8341,479.0,311.9099,6.0,280.0,735.0,1656.0,455.0,0,0.0,0.6997
num_retail_500m,상권 밀도,681,0,0.0,431.8972,324.0,391.6674,5.0,192.0,518.0,2886.0,326.0,0,0.0,2.7129
num_convenience_500m,상권 밀도,681,0,0.0,30.0837,27.0,15.5643,1.0,19.0,40.0,85.0,21.0,0,0.0,0.6173
avg_income,인구/경제,655,26,0.0382,3940506.684,3607265.0,1091893.1107,2152244.0,3130657.0,4846324.5,7421305.0,1715667.5,0,0.0,0.6509
num_offices,인구/경제,651,30,0.0441,45774.8848,15114.0,63728.5415,29.0,3005.0,62687.0,250897.0,59682.0,0,0.0,1.8455
living_population,인구/경제,652,29,0.0426,39123.6534,35698.5,21304.2486,5870.0,24288.0,46455.25,98668.0,22167.25,0,0.0,1.3155
land_price,인구/경제,681,0,0.0,8639839.7357,6399509.0,6336621.5554,1098262.0,3864306.0,13166568.0,59244720.0,9302262.0,0,0.0,1.9313
